cand_name,complete_text
Alain ACKAD,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Alain ACKAD Profil des personnes candidates Icons/ArrowRetour à la liste Alain ACKAD Transition Montréal - Équipe Craig Sauvé Conseillère ou conseiller d'arrondissement Norman-McLaren linkedIn courriel Présentation de la personne candidate Ingénieur de formation, j'ai travaillé pendant plus de 20 ans en logiciel d'affaire. Chaque projet informatique m'a permis de comprendre le processus d'opération dans le but d'améliorer les résultats et l'efficacité du système. Candidat aux élections fédérales de 2011 et 2015, j'ai eu la chance de travailler des personnes sincères. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je tiens à représenter les Montréalais-es pour améliorer notre ville et ainsi rétablir le sentiment de confiance et appartenance à notre municipalité. Je suis né à Montréal et je suis père de trois enfants. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? 1- L'extension de la ligne orange vers le nord: ajouter des stations au niveau de Poirier et Henri-Bourassa (REM Bois-Franc). 2- Le prolongement du boulevard Cavendish vers le sud: étendre la route de Montréal jusqu'au boulevard Cavendish. Quelles sont les deux principales priorités de la personne candidate? Augmenter le niveau de confiance et sécurité en notre arrondissement. Améliorer le transport de notre ville en extensionant le métro orange et le blvd Cavendish. Quel est le lieu préféré de la personne candidate à Montréal? La Rivière-des-Prairies perpendiculaire au boulevard Toupin de Saint-Laurent et Montréal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
N'dri Anker AGOH,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link N’dri Anker AGOH Profil des personnes candidates Icons/ArrowRetour à la liste N'dri Anker AGOH Futur Montréal Conseillère ou conseiller de ville Vieux-Rosemont Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Jean-François AGOH,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Jean-François AGOH Profil des personnes candidates Icons/ArrowRetour à la liste Jean-François AGOH Futur Montréal Conseillère ou conseiller de ville Pointe-aux-Trembles Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Carenne AHIBA,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Carenne AHIBA Profil des personnes candidates Icons/ArrowRetour à la liste Carenne AHIBA Futur Montréal Conseillère ou conseiller de ville Saint-Sulpice linkedIn facebook instagram courriel Présentation de la personne candidate Je suis Carenne Ahiba, notaire et maman de trois filles. Montréalaise d'adoption depuis 2013 (originaire de France), j'aime cette ville ou ma famille a choisi de s'enraciner. Je suis candidate pour mettre mon expertise, ma rigueur et ma passion au servie de notre communauté. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je souhaite assurer une transmission efficace d'une ville dynamique, durable et solidaire à la prochaine génération. Je veux que nos enfants héritent d'une ville où l'intégrité, la compétence et la prospérité priment. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Je crois à une ville où on se sent en sécurité et où on gagne du temps. J'améliorai la fluidité des transports collectifs et actifs, j'augmenterai les espaces verts accessibles et le service de proximité humaine pour tous. Quelles sont les deux principales priorités de la personne candidate? La Mobilité urbaine sera ma priorité 1 Soutien aux ainés et aux familles Quel est le lieu préféré de la personne candidate à Montréal? Le Belvédère, rappelle la grandeur de Montréal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Yaya Marie-Thérèse AÏSSI,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Yaya Marie-Thérèse AÏSSI Profil des personnes candidates Icons/ArrowRetour à la liste Yaya Marie-Thérèse AÏSSI Futur Montréal Conseillère ou conseiller de ville Saint-Édouard courriel Présentation de la personne candidate Je me nomme Yaya Marie-Thérèse Aïssi, citoyenne engagée résidente à Montréal. Conseillère technique aux entreprises à la banque nationale. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Trouver des solutions adéquates pour l'accès aux logements faciliter les déplacements et contribuer aux bien-être des montréalais(es) Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? 1 - Environnement (favoriser les initiatives de compostage et réduction des déchets. 2 - Rendre le transport en commun plus fréquent améliorer l'accessibilité pour les personnes a mobilité réduite. Quelles sont les deux principales priorités de la personne candidate? Favoriser l'accès aux logements abordables Favoriser l'accès aux infrastructures de santé cliniques et hôpitaux de proximité Quel est le lieu préféré de la personne candidate à Montréal? Villeray-St-Michel-Parc-Extension Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Salih AKPINAR,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Salih AKPINAR Profil des personnes candidates Icons/ArrowRetour à la liste Salih AKPINAR Indépendant(e) Mairesse ou maire de l'arrondissement Montréal-Nord instagram site courriel Présentation de la personne candidate Je m'appelle Salih Akpinar. Je viens de terminer mes études en science politique et j'aimerais maintenant mettre mes connaissances et mon énergie au service de la communauté de Montréal-Nord. Je suis motivé à contribuer de façon positive et à travailler de près avec les citoyens pour améliorer notre quartier. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Je veux raviver la démocratie locale en rapprochant les citoyens des décisions qui les concernent. Mon objectif est de porter leurs préoccupations, de défendre leurs intérêts et de travailler avec eux pour bâtir un avenir plus sécuritaire, plus Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Montréal-Nord mérite des parcs plus attractifs et mieux équipés pour tous, y compris les animaux. Je m'engage à agrandir les espaces verts ainsi qu'à améliorer la signalisation routière pour plus de sécurité et de qualité de vie. Quelles sont les deux principales priorités de la personne candidate? La proximité citoyenne avant tout. La securité et la transparence Quel est le lieu préféré de la personne candidate à Montréal? Le belvédère Kondiaronk au Mont-Royal Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Eric Jr ALLEN,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Eric Jr ALLEN Profil des personnes candidates Icons/ArrowRetour à la liste Eric Jr ALLEN Action Montréal - Équipe Gilbert Thibodeau Mairesse ou maire de l'arrondissement Villeray - Saint-Michel - Parc-Extension Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
Ernesto ALMEIDA ACUNA,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Ernesto ALMEIDA ACUNA Profil des personnes candidates Icons/ArrowRetour à la liste Ernesto ALMEIDA ACUNA Action Montréal - Équipe Gilbert Thibodeau Mairesse ou maire de l'arrondissement Anjou x facebook instagram courriel Présentation de la personne candidate Je m'appelle Ernesto Almeida et je suis cubain. Je suis arrivé au Canada en 2001 pour étudier la carrosserie et la peinture automobile. Après avoir découvert la liberté d'expression et les droits de la personne dont jouit ce pays, la décision de demander l'asile politique n'a pas été très difficile à prendre. Je suis père monoparental de 3 enfants. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Parce que les politiciens actuels n'ont pas rempli leur devoir de protéger les intérêts des contribuables. Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Dans le cadre de mon devoir de représentant municipal, apporter des solutions aux besoins réels des citoyens, en protégeant le coût et le temps estimé des réparations ou des constructions, également avec une approche directe auprès des entrepreneurs. Quelles sont les deux principales priorités de la personne candidate? Révision et élimination des pistes cyclables inutiles, augmentation du stationnement, collecte hebdomadaire des ordures Réduction du temps consacré au déneigement et application d'abrasifs pour prévenir les chutes Quel est le lieu préféré de la personne candidate à Montréal? Casino de Montréal-L'Oratoire Saint Joseph Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Ericka ALNEUS,"Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Ericka ALNEUS Profil des personnes candidates Icons/ArrowRetour à la liste Ericka ALNEUS Projet Montréal - Équipe Luc Rabouin Conseillère ou conseiller de ville Étienne-Desmarteau linkedIn facebook instagram site courriel Présentation de la personne candidate Ericka Alnéus, fière Montréalaise d’origine haïtienne, a consacré plus de 10 ans au milieu communautaire. Diplômée en gestion philanthropique, elle a oeuvré auprès d’organismes clés avant de plonger en politique en 2021 avec Projet Montréal. Aujourd’hui, elle propulse la culture, le patrimoine et la vie nocturne au cœur de la ville. Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Elle souhaite représenter les Montréalais-es pour défendre les enjeux politiques et sociaux qui l’animent, mettre son expérience au service du bien commun et contribuer à bâtir une ville plus inclusive, dynamique et à l’écoute de ses citoyens Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Elle souhaite faire vibrer Montréal ! Culture, gastronomie et vie nocturne sont au cœur de sa vision. Elle veut sécuriser les écoles, verdir les espaces publics et mobiliser les citoyens pour une ville plus festive, inclusive et engagée. Quelles sont les deux principales priorités de la personne candidate? Commerce local, écoles sécurisées, verdissement Culture, participation citoyenne Quel est le lieu préféré de la personne candidate à Montréal? Parc Montcalm et rue Beaubien Est Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate."
Dora ANGIULI,Accueil Icons/Arrows/Link Répertoire des personnes candidates Icons/Arrows/Link Dora ANGIULI Profil des personnes candidates Icons/ArrowRetour à la liste Dora ANGIULI Action Montréal - Équipe Gilbert Thibodeau Mairesse ou maire de l'arrondissement Rivière-des-Prairies - Pointe-aux-Trembles Présentation de la personne candidate Non disponible Pourquoi la personne candidate souhaite représenter les Montréalais(es)? Comment la personne candidate souhaite améliorer la qualité de vie à Montréal? Quelles sont les deux principales priorités de la personne candidate? Quel est le lieu préféré de la personne candidate à Montréal? Élections Montréal est un organisme neutre et non partisan. Le contenu de cette page n'engage que la personne candidate.
